Date,CPI,Real_10Y_Yield
1971-05-01,4.404145077720201,0.03299773686491622
1971-06-01,4.6391752577319645,0.0336739319673288
1971-07-01,4.358974358974366,0.03365381713393668
1971-08-01,4.615384615384599,0.033473535966106235
1971-09-01,4.081632653061207,0.027736326771294117
1971-10-01,3.8071065989847774,0.026885900303451768
1971-11-01,3.282828282828265,0.026411648283425113
1971-12-01,3.266331658291466,0.02865150311426669
1972-01-01,3.266331658291466,0.028703682782877597
1972-02-01,3.50877192982455,0.029367609258314088
1972-03-01,3.499999999999992,0.02819839652784472
1972-04-01,3.4912718204488824,0.02977129353753965
1972-05-01,3.2258064516129226,0.030041507867901218
1972-06-01,2.7093596059113434,0.030026044039437007
1972-07-01,2.9484029484029284,0.03142164434635475
1972-08-01,2.941176470588247,0.030834091865613512
1972-09-01,3.1862745098039325,0.033945995564467514
1972-10-01,3.4229828850855792,0.03287650799666291
1972-11-01,3.667481662591676,0.029938095938157112
1972-12-01,3.406326034063256,0.03053904708465547
1973-01-01,3.649635036496357,0.03226593891543182
1973-02-01,3.874092009685226,0.03352822886231034
1973-03-01,4.589371980676327,0.03422264016458982
1973-04-01,5.060240963855422,0.031449526505180514
1973-05-01,5.528846153846145,0.03219796121442892
1973-06-01,5.995203836930463,0.03195151058830006
1973-07-01,5.727923627684972,0.03453645798463356
1973-08-01,7.380952380952377,0.039330562603316695
1973-09-01,7.3634204275534465,0.03272754400073275
1973-10-01,7.801418439716312,0.030608954295903518
1973-11-01,8.25471698113207,0.028533659796761243
1973-12-01,8.705882352941185,0.028516456696100374
1974-01-01,9.38967136150235,0.0309645229066891
1974-02-01,10.023310023310028,0.029508680925359985
1974-03-01,10.39260969976905,0.03068661958225967
1974-04-01,10.091743119266061,0.03331354674150965
1974-05-01,10.70615034168565,0.03555377824557101
1974-06-01,10.859728506787313,0.03337369178835578
1974-07-01,11.512415349887139,0.03723911927621044
1974-08-01,10.864745011086473,0.03663085478538882
1974-09-01,11.946902654867241,0.03918968228105471
1974-10-01,12.061403508771939,0.03414663552186575
1974-11-01,12.200435729847502,0.0325122005180281
1974-12-01,12.337662337662337,0.029232896400168656
1975-01-01,11.802575107296143,0.029442726548633634
1975-02-01,11.228813559322038,0.030800933077039107
1975-03-01,10.251046025104603,0.034896303820839025
1975-04-01,10.20833333333333,0.04326905117958374
1975-05-01,9.4650205761317,0.04019063467928605
1975-06-01,9.387755102040817,0.03990468944477346
1975-07-01,9.716599190283404,0.03956856841076961
1975-08-01,8.599999999999985,0.045390194968497784
1975-09-01,7.905138339920947,0.04907856056434108
1975-10-01,7.4363992172211235,0.04739505325981041
1975-11-01,7.37864077669903,0.04771537683372352
1975-12-01,6.936416184971095,0.046979578167262
1976-01-01,6.717850287907878,0.0447158643144112
1976-02-01,6.285714285714272,0.04476925708718144
1976-03-01,6.072106261859567,0.045288555148418015
1976-04-01,6.0491493383743045,0.043563752559386985
1976-05-01,6.203007518796988,0.046568240620706365
1976-06-01,5.970149253731338,0.04547610807036859
1976-07-01,5.350553505535061,0.04515858250922043
1976-08-01,5.7090239410681365,0.043496992670995445
1976-09-01,5.494505494505497,0.04022894639495528
1976-10-01,5.464480874316946,0.040292809323848815
1976-11-01,4.88245931283906,0.0375800684223841
1976-12-01,4.86486486486486,0.03398564783104051
1977-01-01,5.215827338129486,0.038096749107383594
1977-02-01,5.913978494623673,0.04006317798303522
1977-03-01,6.440071556350624,0.038315278922426324
1977-04-01,6.951871657754016,0.03371065887110991
1977-05-01,6.725663716814156,0.03721453829075464
1977-06-01,6.866197183098599,0.037828253235868095
1977-07-01,6.8301225919439545,0.038461056548609734
1977-08-01,6.620209059233462,0.03933059607743856
1977-09-01,6.59722222222221,0.038838403917287524
1977-10-01,6.390328151986191,0.0389991087478025
1977-11-01,6.7241379310344795,0.040507111969226725
1977-12-01,6.70103092783505,0.04037132621137148
1978-01-01,6.8376068376068355,0.04186206745110147
1978-02-01,6.429780033840937,0.04080119756801329
1978-03-01,6.554621848739495,0.04303330637445576
1978-04-01,6.499999999999995,0.044354024569935036
1978-05-01,6.9651741293532465,0.04492731480818543
1978-06-01,7.413509060955525,0.04369475684148848
1978-07-01,7.7049180327869005,0.0445161616455974
1978-08-01,7.843137254901955,0.03913579216113437
1978-09-01,8.306188925081436,0.03990400139249146
1978-10-01,8.92857142857142,0.041366383345747826
1978-11-01,8.8852988691438,0.03990863600363472
1978-12-01,9.017713365539448,0.044214963395825445
1979-01-01,9.28,0.045261162495445886
1979-02-01,9.856915739268679,0.04398842354173391
1979-03-01,10.094637223974768,0.042623165783293594
1979-04-01,10.485133020344284,0.04335506814535312
1979-05-01,10.852713178294572,0.04278911375277259
1979-06-01,10.889570552147232,0.038522711520146996
1979-07-01,11.263318112633169,0.03980805806821168
1979-08-01,11.818181818181817,0.03751795812018782
1979-09-01,12.180451127819536,0.036963351670773116
1979-10-01,12.071535022354718,0.04666925947988659
1979-11-01,12.611275964391687,0.050459895807849875
1979-12-01,13.293943870014768,0.0438537235779257
1980-01-01,13.90922401171304,0.03670917612809403
1980-02-01,14.1823444283647,0.03998855219573243
1980-03-01,14.756446991404015,0.04158886412018924
1980-04-01,14.730878186968855,0.02126391841453494
1980-05-01,14.40559440559439,0.014208406033458257
1980-06-01,14.384508990318135,0.020261255051482213
1980-07-01,13.132694938440515,0.02677463558082563
1980-08-01,12.872628726287271,0.05508886027001711
1980-09-01,12.600536193029498,0.06353071167579338
1980-10-01,12.765957446808507,0.06586637916612861
1980-11-01,12.648221343873512,0.07407744719787981
1980-12-01,12.516297262059961,0.07581527360041541
1981-01-01,11.825192802056561,0.07321656435258009
1981-02-01,11.406844106463886,0.07987771722292772
1981-03-01,10.486891385767795,0.07330452614563746
1981-04-01,9.999999999999986,0.08686611667604063
1981-05-01,9.7799511002445,0.09712215849737715
1981-06-01,9.552599758162028,0.08810079910114507
1981-07-01,10.761789600967342,0.09764837614929842
1981-08-01,10.80432172869148,0.09510470001410219
1981-09-01,10.952380952380958,0.09620654517945404
1981-10-01,10.14150943396228,0.09086194760217228
1981-11-01,9.590643274853793,0.08038579998487316
1981-12-01,8.92236384704519,0.0855707652477921
1982-01-01,8.390804597701141,0.09530379663532487
1982-02-01,7.622298065984068,0.09560049532028841
1982-03-01,6.779661016949157,0.09655255086967146
1982-04-01,6.509539842873191,0.1027032267380604
1982-05-01,6.681514476614692,0.09924406569725515
1982-06-01,7.064017660044164,0.10305236499062218
1982-07-01,6.4410480349345045,0.09605183345618162
1982-08-01,5.850487540628402,0.08845189432741721
1982-09-01,5.04291845493563,0.08569847565281483
1982-10-01,5.139186295503206,0.07413062445836885
1982-11-01,4.589114194236932,0.0670549285993752
1982-12-01,3.8297872340425476,0.06724242850601214
1983-01-01,3.711558854718988,0.07029604162949134
1983-02-01,3.488372093023262,0.07200505609608712
1983-03-01,3.5978835978836,0.06996916005711007
1983-04-01,3.898840885142252,0.06690466401708889
1983-05-01,3.549060542797511,0.062109625570257364
1983-06-01,2.577319587628857,0.06791933305444642
1983-07-01,2.4615384615384706,0.07773848978002854
1983-08-01,2.5588536335721557,0.08079128998317545
1983-09-01,2.860061287027582,0.07488639873099981
1983-10-01,2.851323828920571,0.07077924076174041
1983-11-01,3.2653061224489743,0.0718412650278569
1983-12-01,3.7909836065573854,0.0706724167313017
1984-01-01,4.192229038854811,0.06516479492003252
1984-02-01,4.596527068437184,0.06568168007210495
1984-03-01,4.80081716036771,0.06880063474783876
1984-04-01,4.563894523326573,0.0700309698301663
1984-05-01,4.233870967741948,0.0800642280560701
1984-06-01,4.2211055276381915,0.0837615581682872
1984-07-01,4.204204204204198,0.08186772934646727
1984-08-01,4.291417165668654,0.0763304945898647
1984-09-01,4.270109235352537,0.0747308223873153
1984-10-01,4.257425742574261,0.07299960246404602
1984-11-01,4.051383399209474,0.06775908502967604
1984-12-01,3.948667324777877,0.06839309735424734
1985-01-01,3.5328753680078373,0.06796003949744496
1985-02-01,3.515625,0.07096966150672737
1985-03-01,3.70370370370372,0.0735766105212597
1985-04-01,3.6857419980601547,0.06707245575984738
1985-05-01,3.771760154738879,0.061985095704150034
1985-06-01,3.760848601735778,0.05532573884346397
1985-07-01,3.5542747358309423,0.05713702488662179
1985-08-01,3.349282296650724,0.058877033394295585
1985-09-01,3.142857142857136,0.05902803425312435
1985-10-01,3.228869895536568,0.05820244403944088
1985-11-01,3.5137701804368593,0.052953538971483
1985-12-01,3.7986704653371284,0.045236801616969004
1986-01-01,3.8862559241706007,0.04416304616188109
1986-02-01,3.113207547169816,0.0390351008376263
1986-03-01,2.2556390977443552,0.03542711290421496
1986-04-01,1.5902712815715425,0.03641297446129002
1986-05-01,1.491146318732528,0.04193129017092176
1986-06-01,1.7657992565055736,0.04138168342046729
1986-07-01,1.5769944341373021,0.032969125195021494
1986-08-01,1.5740740740740833,0.03324911326579578
1986-09-01,1.7543859649122862,0.037042941784526814
1986-10-01,1.4719411223550916,0.03293653977244053
1986-11-01,1.2844036697247763,0.0318467612672217
1986-12-01,1.097895699908502,0.031852678439528645
1987-01-01,1.4598540145985384,0.029649109298951405
1987-02-01,2.1043000914912957,0.028717938466915692
1987-03-01,3.0330882352941124,0.024006943334829396
1987-04-01,3.7753222836095945,0.027986885767848767
1987-05-01,3.8567493112947604,0.030962236613180497
1987-06-01,3.65296803652968,0.029162494435446475
1987-07-01,3.926940639269394,0.03163128126140786
1987-08-01,4.284412032816776,0.03211061564610076
