Date,Price,Dividend,Earnings,CPI,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns
1871-01-01,4.44,0.26,0.4,12.46406116,1871.0416666666667,5.32,112.4560560163362,6.585264541497165,112.4560560163362,10.131176217687946,10.131176217687946,,,,1.0041769357097787,1.0,0.13060944596425705,0.09250367635209922,0.038105769612157836
1871-02-01,4.5,0.26,0.4,12.84464132,1871.125,5.323333333333333,110.59868972658869,6.390146517536235,111.13120193638338,9.83099464236344,9.878329061011856,,,,1.0041797523411402,0.974423686137471,0.1308584817139513,0.09463463434450947,0.03622384736944184
1871-03-01,4.61,0.26,0.4,13.0349719,1871.2083333333333,5.326666666666667,111.64782718097001,6.29684057853627,112.71265401830951,9.687447043901955,9.779839828052888,,,,1.0041825689642252,0.9642089857885741,0.1309508729293518,0.0961859956344644,0.03476487729488742
1871-04-01,4.74,0.26,0.4,12.55922645,1871.2916666666665,5.33,119.14474716713148,6.535365878365862,120.8308829253676,10.054409043639788,10.19669898104368,,,,1.0041853855790357,1.004919008380089,0.12205603761969908,0.09097190623902263,0.03108413138067645
1871-05-01,4.86,0.26,0.4,12.27381157,1871.3749999999998,5.333333333333334,125.00180007244487,6.6873390985258565,127.33598966563439,10.288213997732088,10.480328367541924,,,,1.0041882021855737,1.0325911467539233,0.12263809890224753,0.08948843719041011,0.03314966171183742
1871-06-01,4.82,0.26,0.4,12.08348099,1871.458333333333,5.336666666666667,125.92571472237657,6.792673408260977,128.85378302633293,10.450266781939964,10.693260002185307,,,,1.0041910187838414,1.0532486237736511,0.12309279994112088,0.08772491101954372,0.03536788892157716
1871-07-01,4.73,0.26,0.4,12.08348099,1871.5416666666663,5.34,123.5744046964401,6.792673408260977,127.02701777595964,10.450266781939964,10.742242518051553,,,,1.0041938353738404,1.0576628085399415,0.12002181566560766,0.08658085614998545,0.033440959515622204
1871-08-01,4.79,0.26,0.4,11.8932314,1871.6249999999995,5.343333333333334,127.1437727176485,6.901332130811818,131.28729168119997,10.617434047402798,10.963448157093943,,,,1.004196651955573,1.0790882870419878,0.11193301028006664,0.08266861094518951,0.029264399334877123
1871-09-01,4.84,0.26,0.4,12.17864628,1871.7083333333328,5.346666666666668,125.46014761174263,6.739594706415927,130.12873459361234,10.368607240639887,10.754440875505152,,,,1.0041994685290414,1.0582215453478223,0.11002820544053638,0.08104790478423318,0.028980300656303193
1871-10-01,4.59,0.26,0.4,12.36889587,1871.791666666666,5.3500000000000005,117.14970561879267,6.635931037230086,122.08261893634091,10.209124672661671,10.6390081861735,,,,1.0042022850942474,1.046320345645266,0.11476525767910184,0.08165265212472672,0.03311260555437512
1871-11-01,4.64,0.26,0.4,12.36889587,1871.8749999999993,5.3533333333333335,118.42584620287538,6.635931037230086,123.988774569697,10.209124672661671,10.688687462904916,,,,1.004205101651193,1.050717282037579,0.11526991934606401,0.08259325022901964,0.032676669117044366
1871-12-01,4.74,0.26,0.4,12.65439174,1871.9583333333326,5.3566666666666665,118.24873852056048,6.486217724756482,124.36925585162462,9.978796499625359,10.495295852457776,,,,1.0042079181998806,1.031330727999685,0.11213517395572437,0.08499917774721588,0.027135996208508484
1872-01-01,4.86,0.2633,0.4025,12.65439174,1872.0416666666658,5.36,121.2423774704481,6.5685427958783915,128.09355531526867,10.041163977748017,10.608571196377703,,,,1.0030599998857486,1.0356704833401311,0.10768446401001164,0.0849309891814114,0.02275347482860024
1872-02-01,4.88,0.2667,0.405,12.65439174,1872.124999999999,5.378333333333333,121.74131729542937,6.653362566125207,129.2064669146899,10.103531455870675,10.723077684518323,,,,1.0030764483003818,1.038839634900825,0.10375207603565961,0.0839098290029967,0.019842247032662907
1872-03-01,5.04,0.27,0.4075,12.84464132,1872.2083333333323,5.3966666666666665,123.87053249377931,6.6359213835953215,132.05314797994976,10.015325791907753,10.676916230521732,,,,1.0030928953450977,1.0266013661348654,0.10166592292535204,0.08551458849815541,0.01615133442719663
1872-04-01,5.18,0.2733,0.41,13.13013719,1872.2916666666656,5.415000000000001,124.54317851647676,6.5709750364002115,133.35398079117016,9.857664708833102,10.555044811656325,,,,1.0031093410217495,1.0073855331848895,0.10007866793276321,0.08688549793064304,0.01319317000212017
1872-05-01,5.18,0.2767,0.4125,13.13013719,1872.3749999999989,5.433333333333334,124.54317851647676,6.65272152422956,133.94759479511026,9.917772420472328,10.666676226444592,,,,1.0031257853321864,1.0105178383479383,0.09776066372272174,0.08587668085729061,0.01188398286543113
1872-06-01,5.13,0.28,0.415,13.0349719,1872.4583333333321,5.451666666666666,124.24150833804255,6.781212930731368,134.23091770169623,10.050726308048276,10.858836422261975,,,,1.003142228278255,1.0210771159167262,0.09647170562254859,0.08408634200547294,0.012385363617075651
1872-07-01,5.1,0.2833,0.4175,12.84464132,1872.5416666666654,5.470000000000001,125.34518169013383,6.962801955453905,136.05021597491987,10.26110065796684,11.137444150888049,,,,1.0031586698618002,1.0394633320598912,0.10250040147031392,0.08345252066981468,0.01904788080049924
1872-08-01,5.04,0.2867,0.42,12.93980661,1872.6249999999986,5.488333333333333,122.95953161853323,6.994543197427278,134.09347982609702,10.24662763487777,11.174456652174753,,,,1.0031751100846626,1.0350778150153286,0.10684171794485064,0.08324921768267268,0.023592500262177962
1872-09-01,4.95,0.29,0.4225,13.0349719,1872.708333333332,5.506666666666667,119.88215716828668,7.023399106828916,131.37573053498855,10.232365940121438,11.213383060814678,,,,1.0031915489486818,1.0307834454158584,0.11370306084803916,0.08699311713523294,0.026709943712806217
1872-10-01,4.97,0.2933,0.425,12.74947603,1872.7916666666652,5.5249999999999995,123.06186750797791,7.2623834487102465,135.5235135865164,10.523399132975978,11.589032851965689,,,,1.0032079864556935,1.0572289881054313,0.10870071962282002,0.08557233270220443,0.023128386920615585
1872-11-01,4.95,0.2967,0.4275,13.13013719,1872.8749999999984,5.543333333333333,119.01326904566795,7.133583217343371,131.71960359918273,10.278418690307687,11.375783947202144,,,,1.0032244226075313,1.029871681217814,0.10855245783606438,0.0897661676855337,0.018786290150530682
1872-12-01,5.07,0.3,0.43,12.93980661,1872.9583333333317,5.5616666666666665,123.69143359245308,7.319019739198407,137.57226342015468,10.490594959517717,11.66786455042732,,,,1.0032408574060259,1.0483895674210992,0.10586247483438727,0.08917802028564115,0.01668445454874612
1873-01-01,5.11,0.3025,0.4325,12.93980661,1873.041666666665,5.58,124.66730289101288,7.380011570358394,139.34166342223017,10.551586790677703,11.793594800413803,,,,1.0053472215787504,1.051787248515076,0.1043883357395603,0.08914698112495523,0.015241354614605074
1873-02-01,5.15,0.305,0.435,13.22522149,1873.1249999999982,5.570833333333334,122.93165382744759,7.280418333470197,138.07982953392514,10.383547459211592,11.663053562574259,,,,1.0053398720295676,1.0345912828835473,0.10236955495561739,0.09024771897101957,0.012121835984597817
1873-03-01,5.11,0.3075,0.4375,13.22522149,1873.2083333333314,5.561666666666666,121.97684486568102,7.340093893580608,137.6944125340125,10.443223019322001,11.788905182706547,,,,1.0053325226495526,1.0401158679370517,0.10559090483294353,0.09103688685262346,0.014554017980320078
1873-04-01,5.04,0.31,0.44,13.22522149,1873.2916666666647,5.552499999999999,120.30592918258947,7.39976945369102,136.5042944869964,10.502898579432415,11.9170415821981,,,,1.0053251734388198,1.0456623093609851,0.11040916305818316,0.09183813332210611,0.01857102973607705
1873-05-01,5.05,0.3125,0.4425,12.93980661,1873.374999999998,5.543333333333333,123.20349894317317,7.6239788949983405,140.5128766701505,10.795554115317652,12.312266916146854,,,,1.0053178243974839,1.0744177639884591,0.10688473560051936,0.09026951899961788,0.016615216600901483
1873-06-01,4.98,0.315,0.445,12.55922645,1873.4583333333312,5.534166666666667,125.17739259331536,7.917847121866332,143.51661250455598,11.185530061049263,12.824275615366949,,,,1.005310475525659,1.1128623698390758,0.10928658872736285,0.08999554254332143,0.019291046184041427
1873-07-01,4.97,0.3175,0.4475,12.55922645,1873.5416666666645,5.525,124.92603236722435,7.980687178389082,143.9909185783453,11.248370117572012,12.964977075213183,,,,1.0053031268234605,1.1187721982175332,0.10995788113977434,0.09195892378348636,0.01799895735628798
1873-08-01,4.97,0.32,0.45,12.55922645,1873.6249999999977,5.515833333333333,124.92603236722435,8.04352723491183,144.76350566662617,11.311210174094763,13.107359668004385,,,,1.005295778291002,1.1247051890712423,0.10477284115871521,0.09171831374615547,0.013054527412559747
1873-09-01,4.59,0.3225,0.4525,12.55922645,1873.708333333331,5.506666666666667,115.37434377576655,8.106367291434578,134.47786926048383,11.37405023061751,13.25734985628953,,,,1.0052884299283993,1.130661378395303,0.11585285902884634,0.09259876333025585,0.023254095698590493
1873-10-01,4.19,0.325,0.455,12.27381157,1873.7916666666642,5.4975000000000005,107.76904162624362,8.35917387315732,126.42523115387829,11.702843422420248,13.728754218380576,,,,1.005281081735767,1.1630722161205505,0.12024919033565862,0.0898512573985164,0.030397932937142214
1873-11-01,4.04,0.3275,0.4575,11.8932314,1873.8749999999975,5.488333333333332,107.23608387876824,8.693024126311041,126.64983640164863,12.14369019171695,14.342153503404516,,,,1.0052737337132196,1.2066290414056366,0.12342998034291375,0.08731201737128536,0.03611796297162839
1873-12-01,4.42,0.33,0.46,12.17864628,1873.9583333333308,5.479166666666666,114.57311000907076,8.554100973527907,136.15703223480105,11.923898326735872,14.170188875115041,,,,1.0052663858608724,1.1845651757323503,0.11227108128967789,0.08852845532822085,0.023742625961457042
1874-01-01,4.66,0.33,0.46,12.36889587,1874.041666666664,5.47,118.93630243650846,8.422527854945878,142.17628810547063,11.740493373560922,14.034569212128003,,,,1.007109145660312,1.1724874567369146,0.10468779814198337,0.08998045264656684,0.014707345495416524
1874-02-01,4.8,0.33,0.46,12.36889587,1874.1249999999973,5.4366666666666665,122.50949607194005,8.422527854945878,147.28670189466942,11.740493373560922,14.114975598239152,,,,1.0070852297331554,1.180822840851746,0.10429674065200834,0.08961205036884956,0.014684690283158774
