Date,Actual,Predicted,RMSE
1960-01-01,5.1609699366200505,9.582558356918762,4.421588420298711
1960-02-01,5.18574610393267,9.11334129434378,3.9275951904111093
1960-03-01,5.45390317248741,8.458942823290531,3.0050396508031216
1960-04-01,4.94884347322754,8.800426924861714,3.8515834516341743
1960-05-01,3.74777730182829,8.947431540979865,5.199654239151576
1960-06-01,3.29648614534536,8.034339993009734,4.737853847664374
1960-07-01,3.5268890757965203,7.335838599520001,3.8089495237234803
1960-08-01,3.70556454559889,7.2110700798972465,3.5055055342983565
1960-09-01,4.57793660541414,7.631505851536445,3.0535692461223043
1960-10-01,5.02964133508956,7.860515199783279,2.830873864693719
1960-11-01,4.63327085172033,7.647063998052849,3.013793146332519
1960-12-01,5.02673350774369,6.9097789461134065,1.8830454383697166
1961-01-01,4.89482021718561,6.602453382963244,1.7076331657776338
1961-02-01,4.8460260605128,6.226334810294957,1.3803087497821567
1961-03-01,4.7623029721759895,6.20504050012055,1.4427375279445602
1961-04-01,4.81268619524073,6.356803195150136,1.5441169999094067
1961-05-01,4.51258875796443,6.17396591604065,1.6613771580762204
1961-06-01,4.38050706320893,7.06941886275012,2.6889117995411898
1961-07-01,4.37901171458126,7.32641465237237,2.94740293779111
1961-08-01,3.7674533436010202,7.3198701160782536,3.5524167724772333
1961-09-01,4.11377900502478,7.126077026281637,3.012298021256857
1961-10-01,3.753836997554,6.678147849018844,2.9243108514648437
1961-11-01,2.8104043479765,6.70891016843041,3.8985058204539103
1961-12-01,3.3538175321390797,7.2010912452088425,3.8472737130697627
1962-01-01,4.17105826024299,7.587607405305949,3.416549145062959
1962-02-01,4.17319828251385,7.309832665451747,3.1366343829378973
1962-03-01,4.38205075226736,6.8324718632698165,2.4504211110024565
1962-04-01,4.83498633188741,6.822367396652671,1.9873810647652608
1962-05-01,5.51185985515312,7.518471976707183,2.0066121215540624
1962-06-01,6.827486498493821,8.521570463908631,1.6940839654148103
1962-07-01,6.47182822451888,8.487815170425256,2.0159869459063753
1962-08-01,6.52470935552145,8.161687457422754,1.6369781019013043
1962-09-01,6.46807842201797,8.401030024375572,1.932951602357602
1962-10-01,6.7708602152785495,8.651114086154918,1.880253870876368
1962-11-01,6.5501446156986205,8.162963407418768,1.612818791720148
1962-12-01,6.28718597966837,7.751224775988043,1.4640387963196737
1963-01-01,5.93553936842161,7.434491767406784,1.4989523989851739
1963-02-01,5.33693062376707,7.65269184600238,2.3157612222353103
1963-03-01,5.14264223292693,7.898586054841735,2.755943821914805
1963-04-01,4.3887278797796805,7.844099430642437,3.4553715508627567
1963-05-01,3.81264124453937,7.560892372004081,3.748251127464711
1963-06-01,3.5450858712644298,8.135591864056375,4.590505992791945
1963-07-01,3.80775797658754,8.512266294843712,4.704508318256172
1963-08-01,3.14304775292979,8.259543560228451,5.11649580729866
1963-09-01,3.0299155865835403,8.278610473340306,5.248694886756766
1963-10-01,3.34915360195571,8.572597690749202,5.223444088793492
1963-11-01,2.58233365244942,8.552775813541885,5.970442161092465
1963-12-01,1.58805221746098,8.416076032334388,6.828023814873408
1964-01-01,1.33926730124198,8.219853256997153,6.880585955755173
