Date,Actual,Predicted,RMSE
1960-01-01,5.1609699366200505,8.811918261143703,3.650948324523652
1960-02-01,5.18574610393267,8.65368214840778,3.4679360444751097
1960-03-01,5.45390317248741,8.120644043801281,2.6667408713138716
1960-04-01,4.94884347322754,8.31230163980888,3.3634581665813394
1960-05-01,3.74777730182829,8.407182975231176,4.659405673402887
1960-06-01,3.29648614534536,7.5123403826414465,4.215854237296087
1960-07-01,3.5268890757965203,7.019958172466294,3.4930690966697733
1960-08-01,3.70556454559889,6.989208096860343,3.2836435512614535
1960-09-01,4.57793660541414,7.407782392408414,2.829845786994274
1960-10-01,5.02964133508956,7.695529223274251,2.665887888184691
1960-11-01,4.63327085172033,7.51352723148814,2.8802563797678093
1960-12-01,5.02673350774369,6.855153368368001,1.8284198606243107
1961-01-01,4.89482021718561,6.456624224403563,1.5618040072179529
1961-02-01,4.8460260605128,5.948673851315906,1.1026477908031058
1961-03-01,4.7623029721759895,5.7770304929119645,1.014727520735975
1961-04-01,4.81268619524073,5.75592671731108,0.9432405220703508
1961-05-01,4.51258875796443,5.489280221578018,0.9766914636135882
1961-06-01,4.38050706320893,6.137711264061133,1.757204200852203
1961-07-01,4.37901171458126,6.311974593455461,1.9329628788742008
1961-08-01,3.7674533436010202,6.199450716130202,2.4319973725291817
1961-09-01,4.11377900502478,6.115636615544803,2.001857610520023
1961-10-01,3.753836997554,5.705266566885324,1.9514295693313244
1961-11-01,2.8104043479765,5.587444524620926,2.7770401766444257
1961-12-01,3.3538175321390797,5.97437128345178,2.6205537513127
1962-01-01,4.17105826024299,6.387381011683541,2.2163227514405506
1962-02-01,4.17319828251385,6.184719223634874,2.0115209411210238
1962-03-01,4.38205075226736,5.819711334913461,1.4376605826461013
1962-04-01,4.83498633188741,5.903577184506356,1.0685908526189465
1962-05-01,5.51185985515312,6.693378678215082,1.1815188230619622
1962-06-01,6.827486498493821,7.995631268785571,1.1681447702917502
1962-07-01,6.47182822451888,8.044762632952857,1.5729344084339765
1962-08-01,6.52470935552145,7.776381249224543,1.2516718937030928
1962-09-01,6.46807842201797,7.979330859219784,1.5112524372018141
1962-10-01,6.7708602152785495,8.263125506939568,1.4922652916610186
1962-11-01,6.5501446156986205,7.672170355342254,1.1220257396436333
1962-12-01,6.28718597966837,7.213137927785841,0.9259519481174712
1963-01-01,5.93553936842161,6.835955468269841,0.9004160998482309
1963-02-01,5.33693062376707,7.109434316207679,1.7725036924406092
1963-03-01,5.14264223292693,7.37626932289813,2.2336270899712005
1963-04-01,4.3887278797796805,7.128066286669918,2.739338406890237
1963-05-01,3.81264124453937,6.916927426152463,3.104286181613093
1963-06-01,3.5450858712644298,7.187783627579124,3.6426977563146945
1963-07-01,3.80775797658754,7.434908306317722,3.6271503297301826
1963-08-01,3.14304775292979,7.099991795799595,3.956944042869805
1963-09-01,3.0299155865835403,7.083185386120679,4.053269799537139
1963-10-01,3.34915360195571,7.396530736809506,4.047377134853797
1963-11-01,2.58233365244942,7.398066662090135,4.815733009640715
1963-12-01,1.58805221746098,7.3187968828790835,5.730744665418103
1964-01-01,1.33926730124198,7.204333646962258,5.865066345720278
1964-02-01,0.8083923909201599,7.169886863050999,6.361494472130839
1964-03-01,0.9253954388512999,7.320593523424167,6.395198084572867
1964-04-01,0.21808639941738,7.286903172579299,7.068816773161919
1964-05-01,-0.30149969916433,7.121310694032331,7.422810393196661
1964-06-01,-0.27048679423669,7.131204402506519,7.401691196743209
1964-07-01,-1.89450392500539,6.996642719097724,8.891146644103115
1964-08-01,-2.29906801013305,7.145512790344472,9.444580800477521
1964-09-01,-3.5963149282603304,7.19317344923364,10.78948837749397
1964-10-01,-3.6528642143336696,6.951203417164467,10.604067631498136
1964-11-01,-3.43272727812612,6.957268949799036,10.389996227925156
1964-12-01,-3.96805567614091,7.1821856876375385,11.150241363778449
1965-01-01,-3.4755937557960803,7.203628047061781,10.679221802857862
1965-02-01,-2.64890220948198,7.257486354302539,9.90638856378452
1965-03-01,-2.21380649323538,7.311766763864406,9.525573257099786
1965-04-01,-2.22651252965739,7.1046089477783685,9.331121477435758
1965-05-01,-1.81372001150913,6.969093386837032,8.782813398346162
1965-06-01,-1.08932144798304,7.364914970595415,8.454236418578455
1965-07-01,-1.16709277278281,7.273556474331917,8.440649247114727
1965-08-01,-2.1050276867498,7.479641783260264,9.584669470010063
1965-09-01,-2.58761315240095,7.233302067918547,9.820915220319497
1965-10-01,-2.37788032011569,7.361537836409996,9.739418156525685
1965-11-01,-2.3561836699148597,7.537302795483914,9.893486465398773
1965-12-01,-2.45608214208239,8.130236105363588,10.586318247445979
1966-01-01,-1.77341607901369,7.7928312821932755,9.566247361206965
1966-02-01,-1.3016897705553299,8.685269616350901,9.98695938690623
1966-03-01,-0.81990886933697,8.487467402680705,9.307376272017676
1966-04-01,-1.00947336423591,7.664198559446994,8.673671923682905
1966-05-01,-0.60843084754333,7.9636587728461725,8.572089620389502
1966-06-01,-0.48535843755380004,7.9329901413432165,8.418348578897017
1966-07-01,-0.24684475548130003,8.562448120067181,8.809292875548481
1966-08-01,0.30032157325892,9.436433692137506,9.136112118878586
1966-09-01,0.83725961215932,8.652149441354313,7.814889829194993
1966-10-01,0.58597346247946,8.141914611169907,7.555941148690447
1966-11-01,0.012934079183079998,8.10625167545218,8.0933175962691
1966-12-01,0.27983091447607,6.663704236866722,6.383873322390652
1967-01-01,-0.23003099633072,6.003175268515159,6.2332062648458795
1967-02-01,-0.9335880523184299,6.243145529553358,7.176733581871788
