Date,Prediction,Actual,RMSE,Best_Params
1960-01-01,3.688893458878553,5.1609699366200505,1.4720764777414974,"{'n_estimators': 50, 'max_depth': 10}"
1960-02-01,4.325922541298167,5.18574610393267,0.8598235626345039,"{'n_estimators': 50, 'max_depth': 5}"
1960-03-01,4.808869372605012,5.45390317248741,0.6450337998823974,"{'n_estimators': 100, 'max_depth': 10}"
1960-04-01,4.3330119741586195,4.94884347322754,0.6158314990689204,"{'n_estimators': 50, 'max_depth': 5}"
1960-05-01,4.2967874450913985,3.74777730182829,0.5490101432631085,"{'n_estimators': 100, 'max_depth': 5}"
1960-06-01,4.421053008202148,3.29648614534536,1.124566862856788,"{'n_estimators': 200, 'max_depth': 5}"
1960-07-01,4.3133971761944006,3.5268890757965203,0.7865081003978802,"{'n_estimators': 100, 'max_depth': 5}"
1960-08-01,4.547577806533361,3.70556454559889,0.8420132609344715,"{'n_estimators': 50, 'max_depth': 10}"
1960-09-01,4.310596935221761,4.57793660541414,0.2673396701923796,"{'n_estimators': 100, 'max_depth': 5}"
1960-10-01,3.056114846116171,5.02964133508956,1.9735264889733894,"{'n_estimators': 100, 'max_depth': 5}"
1960-11-01,4.3116927908160445,4.63327085172033,0.32157806090428576,"{'n_estimators': 100, 'max_depth': 5}"
1960-12-01,4.293401659888691,5.02673350774369,0.7333318478549993,"{'n_estimators': 50, 'max_depth': 5}"
1961-01-01,2.9826321787514702,4.89482021718561,1.9121880384341399,"{'n_estimators': 200, 'max_depth': 5}"
1961-02-01,2.748388391733552,4.8460260605128,2.097637668779248,"{'n_estimators': 100, 'max_depth': 5}"
1961-03-01,0.8221218437416121,4.7623029721759895,3.9401811284343773,"{'n_estimators': 50, 'max_depth': 5}"
1961-04-01,0.6218068994227155,4.81268619524073,4.190879295818014,"{'n_estimators': 100, 'max_depth': 5}"
1961-05-01,0.08610813640087812,4.51258875796443,4.4264806215635515,"{'n_estimators': 100, 'max_depth': 10}"
1961-06-01,0.13171315067956002,4.38050706320893,4.24879391252937,"{'n_estimators': 200, 'max_depth': 20}"
1961-07-01,1.130218699939592,4.37901171458126,3.2487930146416684,"{'n_estimators': 50, 'max_depth': 20}"
1961-08-01,0.9546253302960598,3.7674533436010202,2.8128280133049604,"{'n_estimators': 50, 'max_depth': 20}"
1961-09-01,-0.04388436198562209,4.11377900502478,4.157663367010402,"{'n_estimators': 50, 'max_depth': 20}"
1961-10-01,0.8409109715868617,3.753836997554,2.9129260259671383,"{'n_estimators': 200, 'max_depth': 10}"
1961-11-01,-0.3043578039631038,2.8104043479765,3.114762151939604,"{'n_estimators': 50, 'max_depth': 20}"
1961-12-01,-0.07197120792926319,3.3538175321390797,3.425788740068343,"{'n_estimators': 100, 'max_depth': 20}"
1962-01-01,1.68056348807455,4.17105826024299,2.4904947721684403,"{'n_estimators': 50, 'max_depth': 10}"
1962-02-01,-0.2505200653107791,4.17319828251385,4.423718347824629,"{'n_estimators': 50, 'max_depth': 20}"
1962-03-01,-0.22735288570424023,4.38205075226736,4.6094036379716,"{'n_estimators': 100, 'max_depth': 20}"
1962-04-01,-0.04388436198562209,4.83498633188741,4.878870693873032,"{'n_estimators': 50, 'max_depth': 20}"
1962-05-01,2.9183045424069616,5.51185985515312,2.5935553127461586,"{'n_estimators': 50, 'max_depth': 20}"
1962-06-01,2.9135991427844794,6.827486498493821,3.9138873557093414,"{'n_estimators': 50, 'max_depth': 10}"
1962-07-01,4.270401428843057,6.47182822451888,2.2014267956758236,"{'n_estimators': 50, 'max_depth': 5}"
1962-08-01,4.501001245736686,6.52470935552145,2.0237081097847645,"{'n_estimators': 50, 'max_depth': 20}"
1962-09-01,4.361533310844416,6.46807842201797,2.1065451111735545,"{'n_estimators': 50, 'max_depth': 20}"
1962-10-01,3.2790932134845345,6.7708602152785495,3.491767001794015,"{'n_estimators': 100, 'max_depth': 5}"
1962-11-01,5.252307499368138,6.5501446156986205,1.2978371163304825,"{'n_estimators': 100, 'max_depth': 20}"
1962-12-01,1.755097879458483,6.28718597966837,4.5320881002098865,"{'n_estimators': 50, 'max_depth': 20}"
1963-01-01,2.747146441117965,5.93553936842161,3.188392927303645,"{'n_estimators': 100, 'max_depth': 10}"
1963-02-01,1.488935863984328,5.33693062376707,3.8479947597827415,"{'n_estimators': 50, 'max_depth': 5}"
1963-03-01,2.4966928918067155,5.14264223292693,2.645949341120214,"{'n_estimators': 200, 'max_depth': 5}"
1963-04-01,0.6849058122022177,4.3887278797796805,3.703822067577463,"{'n_estimators': 50, 'max_depth': 5}"
1963-05-01,0.08658760691414727,3.81264124453937,3.7260536376252227,"{'n_estimators': 100, 'max_depth': 10}"
1963-06-01,0.16051792841194618,3.5450858712644298,3.3845679428524837,"{'n_estimators': 50, 'max_depth': 10}"
1963-07-01,1.1272861034837027,3.80775797658754,2.680471873103837,"{'n_estimators': 50, 'max_depth': 10}"
1963-08-01,0.07639921388493792,3.14304775292979,3.066648539044852,"{'n_estimators': 100, 'max_depth': 10}"
1963-09-01,0.9144630256925192,3.0299155865835403,2.115452560891021,"{'n_estimators': 100, 'max_depth': 20}"
1963-10-01,0.5327609001435213,3.34915360195571,2.816392701812189,"{'n_estimators': 100, 'max_depth': 10}"
1963-11-01,0.06050384548450948,2.58233365244942,2.5218298069649108,"{'n_estimators': 50, 'max_depth': 10}"
1963-12-01,1.0766402636826717,1.58805221746098,0.5114119537783082,"{'n_estimators': 200, 'max_depth': 10}"
1964-01-01,-0.10444952489564667,1.33926730124198,1.4437168261376268,"{'n_estimators': 50, 'max_depth': 20}"
