Date,Prediction,Actual,RMSE
1970-10-01,7.1738017751533665,0.77786185512358,6.395939920029787
1970-11-01,7.414404654740529,1.18102797955617,6.233376675184359
1970-12-01,8.936418527691051,0.31555751529843,8.620861012392622
1971-01-01,6.205753110124374,-0.16709123430016,6.372844344424534
1971-02-01,5.775872505005442,-0.9586367071483001,6.734509212153742
1971-03-01,5.810486564413821,-0.87534280564596,6.68582937005978
1971-04-01,5.80209950873402,-1.14716032578183,6.94925983451585
1971-05-01,5.787085221162888,-1.2261023454120101,7.013187566574898
1971-06-01,5.798425097340907,-0.9966835847881401,6.795108682129047
1971-07-01,5.5652860869153855,-1.23612564954272,6.801411736458105
1971-08-01,6.798878174198354,-1.05667923166085,7.855557405859203
1971-09-01,5.605847904316502,-2.24577441579947,7.851622320115972
1971-10-01,6.42650906704228,-1.89054545665326,8.31705452369554
1971-11-01,5.588604753040554,-1.18648291712324,6.775087670163794
1971-12-01,6.275564232789142,-1.73583700374462,8.011401236533763
1972-01-01,5.8406361291653965,-2.6714873596010698,8.512123488766466
1972-02-01,5.792554751477103,-3.0433439385573102,8.835898690034412
1972-03-01,5.801784443728789,-3.5287453923462198,9.330529836075009
1972-04-01,5.801789523049995,-3.1522616565126302,8.954051179562626
1972-05-01,5.798420279778306,-3.0896914942138,8.888111773992106
1972-06-01,5.805876079187162,-3.75913440646755,9.565010485654712
1972-07-01,5.860485960517627,-3.69041667214332,9.550902632660947
1972-08-01,5.812839222238283,-3.96823426517599,9.781073487414274
1972-09-01,5.835478016672415,-2.74370415822574,8.579182174898154
1972-10-01,5.858661728324738,-1.93714234420522,7.7958040725299576
1972-11-01,5.904442811030583,-1.96464527480457,7.869088085835153
1972-12-01,5.3554813991966315,-1.99361000495763,7.349091404154262
1973-01-01,5.331113685773051,-1.70929714051176,7.040410826284811
1973-02-01,5.8763006891233225,-1.10896569389608,6.985266383019402
1973-03-01,5.889165704402428,-0.50631756542042,6.395483269822848
1973-04-01,5.739979244448423,0.06599084043763,5.673988404010793
1973-05-01,5.474709385594257,0.76997385593502,4.704735529659237
1973-06-01,9.27138874642774,1.18665240778284,8.084736338644898
1973-07-01,9.160957727193468,1.11858986483297,8.042367862360498
1973-08-01,5.631541224102901,1.18959062608101,4.441950598021891
1973-09-01,5.338725381980363,1.29162795818476,4.047097423795603
1973-10-01,9.144022085900833,0.99629290667921,8.147729179221622
1973-11-01,7.6726018184337725,1.6454975003629801,6.027104318070792
1973-12-01,7.016946454013097,2.4077050220234,4.609241431989697
1974-01-01,7.029769766651168,2.42294438662571,4.606825380025459
1974-02-01,8.051156828597884,2.22301865028164,5.8281381783162445
1974-03-01,8.223459468696229,1.92050133382453,6.302958134871698
1974-04-01,10.824124248106806,2.4697271508143,8.354397097292505
1974-05-01,10.786810936925411,2.82305605523798,7.96375488168743
1974-06-01,12.132757035957427,2.63903108821164,9.493725947745787
1974-07-01,14.25332638630106,3.83215556718379,10.42117081911727
1974-08-01,15.773202808701805,5.23983758513104,10.533365223570765
1974-09-01,8.424189891595837,6.580788021937729,1.8434018696581083
1974-10-01,8.03365303821772,6.361215896785439,1.6724371414322805
1974-11-01,11.914646770045975,6.18952509985482,5.725121670191155
1974-12-01,7.721703784239792,6.86608257196788,0.8556212122719122
1975-01-01,11.467487402236197,6.49319145396334,4.974295948272856
1975-02-01,12.351846001483196,6.0315045360044,6.320341465478796
1975-03-01,14.90243376999033,5.467849026249301,9.434584743741029
1975-04-01,14.860920823659548,5.4102054931585295,9.45071533050102
1975-05-01,13.98068930234559,5.03077420472255,8.949915097623041
1975-06-01,11.543088515361035,5.0408871619805,6.502201353380535
1975-07-01,12.835594719650715,5.32700790039371,7.508586819257005
1975-08-01,14.607023382568604,5.8963523143215,8.710671068247105
1975-09-01,15.41020099940273,5.81467708071863,9.5955239186841
1975-10-01,14.366393280025273,5.478083843122071,8.888309436903203
1975-11-01,14.423518645030521,5.97010097401355,8.453417671016972
1975-12-01,14.8420253979253,6.654074724163039,8.18795067376226
1976-01-01,11.220249128791343,5.75552004614769,5.464729082643653
1976-02-01,11.76922917912833,5.9759385545582395,5.79329062457009
1976-03-01,11.751151573865148,6.59650765760719,5.154643916257958
1976-04-01,11.618359421223404,6.8264915193053,4.7918679019181045
1976-05-01,11.564672946029397,6.966340640356659,4.598332305672738
1976-06-01,11.725077357787416,7.19846534420483,4.526612013582587
1976-07-01,11.760184536302566,6.77854120560914,4.981643330693426
1976-08-01,11.760321062659047,7.11628335415959,4.644037708499457
1976-09-01,11.807573289421022,6.58168442116924,5.225888868251782
1976-10-01,11.508378738753315,6.9544710671768595,4.5539076715764555
1976-11-01,11.231925900868443,7.3741610091351895,3.857764891733254
1976-12-01,11.782126558675403,7.183943193708201,4.598183364967202
1977-01-01,11.365126485742643,7.92373673156512,3.4413897541775222
1977-02-01,11.53301890478434,8.93394897560515,2.5990699291791906
1977-03-01,12.939179528152271,9.43201595783886,3.507163570313411
1977-04-01,13.97723597907484,9.50215626131854,4.4750797177563
1977-05-01,14.493965610036398,9.52949361660973,4.964471993426667
1977-06-01,14.450128312267303,9.94754033381055,4.502587978456752
1977-07-01,14.446562776555844,10.17057469131228,4.275988085243563
1977-08-01,14.84546481297999,11.072523406677389,3.7729414063026017
1977-09-01,14.644593704661029,10.840109360941371,3.8044843437196576
1977-10-01,12.723974956373782,9.70059401393503,3.0233809424387523
1977-11-01,12.749917899797666,8.20694448285066,4.542973416947005
1977-12-01,13.10001958267081,8.1048218319675,4.99519775070331
1978-01-01,7.663678032963786,8.971822063712121,1.308144030748335
1978-02-01,12.164481539723964,9.477266521704369,2.687215018019595
1978-03-01,11.947427128081994,9.836358000947131,2.111069127134863
1978-04-01,7.587107955368234,9.25189488884892,1.664786933480686
1978-05-01,12.546769364812533,8.49227002526282,4.054499339549713
