Date,Predicted,Actual,RMSE
1960-01-01,3.9167432765458283,5.1609699366200505,1.2442266600742222
1960-02-01,4.2848433132244645,5.18574610393267,0.9009027907082059
1960-03-01,4.420401856571014,5.45390317248741,1.0335013159163955
1960-04-01,4.3604111481888985,4.94884347322754,0.5884323250386414
1960-05-01,4.457305098397668,3.74777730182829,0.7095277965693776
1960-06-01,4.197443477538531,3.29648614534536,0.9009573321931712
1960-07-01,4.4250602182079035,3.5268890757965203,0.8981711424113832
1960-08-01,4.33177259960836,3.70556454559889,0.6262080540094703
1960-09-01,4.605992989833981,4.57793660541414,0.028056384419840263
1960-10-01,4.853974075857145,5.02964133508956,0.17566725923241577
1960-11-01,4.580957524975991,4.63327085172033,0.05231332674433897
1960-12-01,4.384881649575364,5.02673350774369,0.6418518581683257
1961-01-01,3.9727652182670647,4.89482021718561,0.9220549989185454
1961-02-01,3.662009758351892,4.8460260605128,1.1840163021609085
1961-03-01,3.4361953526372924,4.7623029721759895,1.3261076195386972
1961-04-01,3.2482618627715114,4.81268619524073,1.5644243324692182
1961-05-01,3.185126139987653,4.51258875796443,1.327462617976777
1961-06-01,3.2958300986166673,4.38050706320893,1.084676964592263
1961-07-01,3.376399219203436,4.37901171458126,1.0026124953778242
1961-08-01,3.100832317016603,3.7674533436010202,0.6666210265844175
1961-09-01,3.2010906281561162,4.11377900502478,0.9126883768686636
1961-10-01,3.141503695167839,3.753836997554,0.612333302386161
1961-11-01,2.845256574531531,2.8104043479765,0.03485222655503062
1961-12-01,2.799739424778619,3.3538175321390797,0.5540781073604606
1962-01-01,3.093249449563027,4.17105826024299,1.0778088106799633
1962-02-01,3.0255007731814514,4.17319828251385,1.1476975093323984
1962-03-01,3.045201352111584,4.38205075226736,1.336849400155776
1962-04-01,3.33490236536142,4.83498633188741,1.50008396652599
1962-05-01,3.9633653445733543,5.51185985515312,1.5484945105797658
1962-06-01,5.063128671548601,6.827486498493821,1.7643578269452203
1962-07-01,4.904913010453841,6.47182822451888,1.5669152140650393
1962-08-01,4.695235860385356,6.52470935552145,1.829473495136094
1962-09-01,4.83366873991003,6.46807842201797,1.6344096821079397
1962-10-01,5.153975718345506,6.7708602152785495,1.6168844969330438
1962-11-01,4.585165660201039,6.5501446156986205,1.9649789554975818
1962-12-01,4.254823067775571,6.28718597966837,2.0323629118927986
1963-01-01,3.977456776085825,5.93553936842161,1.958082592335785
1963-02-01,3.906116378341549,5.33693062376707,1.4308142454255206
1963-03-01,3.9955356158356476,5.14264223292693,1.147106617091282
1963-04-01,3.666443753278126,4.3887278797796805,0.7222841265015543
1963-05-01,3.543894591334417,3.81264124453937,0.26874665320495295
1963-06-01,3.6011728143433634,3.5450858712644298,0.05608694307893369
1963-07-01,3.767220181350223,3.80775797658754,0.04053779523731693
1963-08-01,3.5839982418319956,3.14304775292979,0.44095048890220534
1963-09-01,3.4151175845575743,3.0299155865835403,0.385201997974034
1963-10-01,3.4435297090274553,3.34915360195571,0.09437610707174526
1963-11-01,3.5110097660759294,2.58233365244942,0.9286761136265094
1963-12-01,3.404030033270404,1.58805221746098,1.815977815809424
1964-01-01,3.2091962499833535,1.33926730124198,1.8699289487413735
1964-02-01,3.151044875959143,0.8083923909201599,2.3426524850389834
1964-03-01,3.0541765706074244,0.9253954388512999,2.1287811317561243
1964-04-01,2.987049497003799,0.21808639941738,2.768963097586419
1964-05-01,2.9571753770688938,-0.30149969916433,3.258675076233224
1964-06-01,3.0631144572826345,-0.27048679423669,3.3336012515193243
1964-07-01,2.8732595841039776,-1.89450392500539,4.7677635091093675
1964-08-01,2.998184288049605,-2.29906801013305,5.297252298182655
1964-09-01,2.9495252686031326,-3.5963149282603304,6.5458401968634625
1964-10-01,2.8819946670970893,-3.6528642143336696,6.534858881430759
1964-11-01,2.9070184994901695,-3.43272727812612,6.33974577761629
1964-12-01,3.0770966401537874,-3.96805567614091,7.045152316294697
1965-01-01,2.9577114582328816,-3.4755937557960803,6.433305214028962
1965-02-01,2.9627845167372575,-2.64890220948198,5.611686726219237
1965-03-01,3.0322501991532973,-2.21380649323538,5.246056692388677
1965-04-01,3.019119402222411,-2.22651252965739,5.245631931879801
1965-05-01,2.975424853510631,-1.81372001150913,4.789144865019761
1965-06-01,3.390936280400176,-1.08932144798304,4.480257728383216
1965-07-01,3.4481395802251518,-1.16709277278281,4.615232353007961
1965-08-01,3.3711816303502014,-2.1050276867498,5.476209317100001
1965-09-01,3.202857093542165,-2.58761315240095,5.790470245943115
1965-10-01,3.131069416863599,-2.37788032011569,5.5089497369792895
1965-11-01,3.127367978051895,-2.3561836699148597,5.483551647966754
1965-12-01,3.225291590667492,-2.45608214208239,5.681373732749883
1966-01-01,3.166043601304351,-1.77341607901369,4.939459680318041
1966-02-01,3.2936709422022235,-1.3016897705553299,4.595360712757554
1966-03-01,3.624081893047722,-0.81990886933697,4.443990762384692
1966-04-01,3.510875749692183,-1.00947336423591,4.520349113928093
1966-05-01,3.903290466999141,-0.60843084754333,4.511721314542471
1966-06-01,4.016393467921089,-0.48535843755380004,4.501751905474889
1966-07-01,4.0903006063760685,-0.24684475548130003,4.3371453618573685
1966-08-01,4.606309305313123,0.30032157325892,4.305987732054203
1966-09-01,4.901838394331718,0.83725961215932,4.064578782172398
1966-10-01,5.0441691717061445,0.58597346247946,4.458195709226684
1966-11-01,4.707370459925399,0.012934079183079998,4.694436380742319
1966-12-01,4.707497323932243,0.27983091447607,4.427666409456172
1967-01-01,4.469142714208438,-0.23003099633072,4.699173710539158
