Date,Predicted,Actual,RMSE
1972-05-01,4.173309280055496,-3.0896914942138,7.263000774269296
1972-06-01,4.229911205657537,-3.75913440646755,7.989045612125087
1972-07-01,4.289192895325068,-3.69041667214332,7.979609567468389
1972-08-01,4.3949402049507444,-3.96823426517599,8.363174470126735
1972-09-01,6.000679756236877,-2.74370415822574,8.744383914462617
1972-10-01,5.903852536471622,-1.93714234420522,7.840994880676842
1972-11-01,4.968569929350501,-1.96464527480457,6.933215204155071
1972-12-01,5.217496911069592,-1.99361000495763,7.211106916027222
1973-01-01,5.550714223500891,-1.70929714051176,7.260011364012651
1973-02-01,6.3186554170482285,-1.10896569389608,7.427621110944308
1973-03-01,6.603432174015334,-0.50631756542042,7.109749739435754
1973-04-01,6.559577634543584,0.06599084043763,6.493586794105954
1973-05-01,7.561574456345348,0.76997385593502,6.791600600410328
1973-06-01,7.859743609579469,1.18665240778284,6.673091201796629
1973-07-01,8.197210192646864,1.11858986483297,7.078620327813894
1973-08-01,8.553081222705298,1.18959062608101,7.363490596624288
1973-09-01,7.128942072419611,1.29162795818476,5.837314114234851
1973-10-01,6.4688865287767845,0.99629290667921,5.472593622097574
1973-11-01,7.307321351381436,1.6454975003629801,5.661823851018456
1973-12-01,8.321004242600498,2.4077050220234,5.913299220577098
1974-01-01,9.00701263704656,2.42294438662571,6.5840682504208505
1974-02-01,9.39428642567151,2.22301865028164,7.17126777538987
1974-03-01,9.442898311276684,1.92050133382453,7.5223969774521535
1974-04-01,10.513523842322112,2.4697271508143,8.043796691507811
1974-05-01,10.859804515654334,2.82305605523798,8.036748460416353
1974-06-01,10.205810889276156,2.63903108821164,7.566779801064516
1974-07-01,12.782685111980845,3.83215556718379,8.950529544797055
1974-08-01,13.751737860075474,5.23983758513104,8.511900274944434
1974-09-01,15.275819508015413,6.580788021937729,8.695031486077685
1974-10-01,13.8803718989159,6.361215896785439,7.519156002130461
1974-11-01,12.492749469545485,6.18952509985482,6.303224369690665
1974-12-01,13.636085868353206,6.86608257196788,6.770003296385326
1975-01-01,11.658533269649165,6.49319145396334,5.165341815685825
1975-02-01,9.834133154104567,6.0315045360044,3.802628618100167
1975-03-01,10.491029271635112,5.467849026249301,5.023180245385811
1975-04-01,11.423472304086202,5.4102054931585295,6.013266810927672
1975-05-01,9.617482870378847,5.03077420472255,4.586708665656297
1975-06-01,8.93521115137369,5.0408871619805,3.8943239893931896
1975-07-01,9.922450000173313,5.32700790039371,4.5954420997796035
1975-08-01,12.26162215907517,5.8963523143215,6.36526984475367
1975-09-01,12.55046123786735,5.81467708071863,6.73578415714872
1975-10-01,10.48990648755303,5.478083843122071,5.01182264443096
1975-11-01,10.116419239524216,5.97010097401355,4.146318265510666
1975-12-01,10.333025458560064,6.654074724163039,3.6789507343970245
1976-01-01,7.826242597156553,5.75552004614769,2.0707225510088634
1976-02-01,7.588395754159617,5.9759385545582395,1.6124571996013772
1976-03-01,7.596476825222551,6.59650765760719,0.9999691676153608
1976-04-01,7.587852427949336,6.8264915193053,0.7613609086440363
1976-05-01,8.733172656668756,6.966340640356659,1.7668320163120974
1976-06-01,8.477179191847434,7.19846534420483,1.2787138476426039
1976-07-01,8.141788662683062,6.77854120560914,1.3632474570739221
1976-08-01,8.64699162233285,7.11628335415959,1.5307082681732602
1976-09-01,8.496667743893358,6.58168442116924,1.914983322724118
1976-10-01,8.867572430449552,6.9544710671768595,1.913101363272693
1976-11-01,8.91302566553206,7.3741610091351895,1.5388646563968713
1976-12-01,7.528564153315594,7.183943193708201,0.3446209596073935
1977-01-01,8.449891626607956,7.92373673156512,0.5261548950428354
1977-02-01,9.321036795630647,8.93394897560515,0.38708782002549746
1977-03-01,9.758494735404508,9.43201595783886,0.32647877756564725
1977-04-01,10.447114421542771,9.50215626131854,0.9449581602242318
1977-05-01,10.73746704377458,9.52949361660973,1.2079734271648483
1977-06-01,10.386062811800599,9.94754033381055,0.4385224779900483
1977-07-01,10.405690820857513,10.17057469131228,0.23511612954523287
1977-08-01,11.231617274573596,11.072523406677389,0.15909386789620683
1977-09-01,11.497934970410933,10.840109360941371,0.6578256094695618
1977-10-01,12.371102061388703,9.70059401393503,2.670508047453673
1977-11-01,12.130833312851205,8.20694448285066,3.9238888300005446
1977-12-01,12.510941445154169,8.1048218319675,4.406119613186668
1978-01-01,13.648709611141939,8.971822063712121,4.676887547429818
1978-02-01,14.377882546367365,9.477266521704369,4.900616024662996
1978-03-01,14.217741021440041,9.836358000947131,4.38138302049291
