Date,Prediction,Actual,RMSE
1964-05-01,12.505286972576295,-0.30149969916433,12.806786671740625
1964-06-01,12.56725307170962,-0.27048679423669,12.837739865946311
1964-07-01,12.348602669912289,-1.89450392500539,14.243106594917679
1964-08-01,12.331078818192902,-2.29906801013305,14.630146828325952
1964-09-01,12.35704739482454,-3.5963149282603304,15.953362323084871
1964-10-01,12.123857786430294,-3.6528642143336696,15.776722000763964
1964-11-01,12.19473980608237,-3.43272727812612,15.62746708420849
1964-12-01,12.050887135174213,-3.96805567614091,16.01894281131512
1965-01-01,12.627014853537592,-3.4755937557960803,16.10260860933367
1965-02-01,12.51894179418946,-2.64890220948198,15.16784400367144
1965-03-01,11.518809059202939,-2.21380649323538,13.732615552438318
1965-04-01,11.726222853798246,-2.22651252965739,13.952735383455636
1965-05-01,11.243126008887192,-1.81372001150913,13.056846020396321
1965-06-01,11.843669362415588,-1.08932144798304,12.932990810398628
1965-07-01,10.874718177579497,-1.16709277278281,12.041810950362308
1965-08-01,9.991407356162616,-2.1050276867498,12.096435042912416
1965-09-01,9.846887999107064,-2.58761315240095,12.434501151508014
1965-10-01,10.1019041535573,-2.37788032011569,12.47978447367299
1965-11-01,10.462884464435952,-2.3561836699148597,12.819068134350811
1965-12-01,11.823625990954088,-2.45608214208239,14.279708133036479
1966-01-01,12.222859511021717,-1.77341607901369,13.996275590035406
1966-02-01,12.610728060104872,-1.3016897705553299,13.912417830660202
1966-03-01,12.263322506460572,-0.81990886933697,13.083231375797542
1966-04-01,11.666057237598352,-1.00947336423591,12.675530601834263
1966-05-01,11.569649713602509,-0.60843084754333,12.178080561145839
1966-06-01,11.69752608443305,-0.48535843755380004,12.18288452198685
1966-07-01,10.575226826719879,-0.24684475548130003,10.822071582201179
1966-08-01,10.81405198391235,0.30032157325892,10.51373041065343
1966-09-01,10.349178465038301,0.83725961215932,9.511918852878981
1966-10-01,10.105181174242873,0.58597346247946,9.519207711763412
1966-11-01,9.374033681103995,0.012934079183079998,9.361099601920916
1966-12-01,8.11898913570581,0.27983091447607,7.83915822122974
1967-01-01,6.805360192993163,-0.23003099633072,7.035391189323883
1967-02-01,7.2429821467328175,-0.9335880523184299,8.176570199051248
1967-03-01,6.960829530901306,-1.23251214475457,8.193341675655876
1967-04-01,6.897601698472093,-1.59759493259649,8.495196631068584
1967-05-01,7.468196702547136,-1.81037099513581,9.278567697682945
1967-06-01,7.487364353812311,-1.6593517526992798,9.14671610651159
1967-07-01,7.406760606892497,-1.74668251695804,9.153443123850538
1967-08-01,7.5132440238022875,-2.13502055625495,9.648264580057237
1967-09-01,7.301003369675159,-2.41328787929648,9.714291248971639
1967-10-01,7.2521841288121,-2.64164141012711,9.893825538939211
1967-11-01,7.245691778612532,-2.2791959816528,9.524887760265331
1967-12-01,7.484166037062823,-2.58815124930902,10.072317286371844
1968-01-01,7.389958416112307,-2.92678669783916,10.316745113951468
1968-02-01,8.563733260391365,-2.6320637692261397,11.195797029617504
1968-03-01,8.661367525127687,-2.50148949914358,11.162857024271268
1968-04-01,7.407505880275754,-2.80887777353898,10.216383653814734
1968-05-01,7.4002082150488295,-2.59576464920555,9.99597286425438
1968-06-01,7.146011792492761,-2.86096205249908,10.00697384499184
1968-07-01,5.994352419109839,-2.88994651085006,8.8842989299599
1968-08-01,7.065275472527648,-2.02599536456709,9.091270837094738
1968-09-01,7.292455765414391,-2.36989169817403,9.662347463588421
1968-10-01,7.472549186377213,-2.93677123627972,10.409320422656933
1968-11-01,7.437490137414489,-3.6643228172882596,11.101812954702748
1968-12-01,7.263815682728834,-3.6194372497889398,10.883252932517774
1969-01-01,7.316833574629393,-2.88721016447751,10.204043739106902
1969-02-01,7.144474020447131,-3.0255130155565397,10.16998703600367
1969-03-01,7.791493750331494,-2.6294536014482497,10.420947351779743
1969-04-01,7.555417726964311,-2.67142145027811,10.226839177242422
1969-05-01,6.457555821006239,-3.2877791186195098,9.74533493962575
1969-06-01,7.659176452726635,-2.61559920870978,10.274775661436415
1969-07-01,7.151914707743305,-2.1122186476369698,9.264133355380276
1969-08-01,6.967251167058108,-1.64423305545108,8.611484222509187
1969-09-01,7.908210789941481,-1.6346310010965301,9.542841791038011
1969-10-01,6.332170615467964,-2.12596026719444,8.458130882662404
1969-11-01,6.231768612449346,-2.2925778303101296,8.524346442759477
1969-12-01,6.366718451021622,-1.41370359892347,7.780422049945092
1970-01-01,6.306169536903644,-1.1477621398428501,7.453931676746494
1970-02-01,7.661970244085267,-0.48549116449231,8.147461408577577
