Date,Price,Dividend,Earnings,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns,ReturnVol,BondVol,SVAR,TBL,DFY,DFR,CPI,Real_10Y_Yield
1969-01-01,102.0,3.08,5.78,1969.0416666665776,6.04,904.5021910112362,27.312419101123602,128942.4356895985,51.255124157303385,7306.738022410582,21.194968072847153,24.35967147434075,0.007497662174861024,0.9939377478823239,11.37085626745374,-0.02887210164477516,-0.014788467462165222,-0.014083634182609939,0.570733237647517,0.0032677551336479246,83.009669,0.024,0.7300000000000004,1.2800000000000002,4.398826979472137,0.0261740578283236
1969-02-01,101.5,3.09,5.8,1969.1249999999109,6.19,895.0400418994416,27.248017039106156,127917.2451606862,51.14514525139666,7309.556866324927,20.895729901987234,24.016674426994648,0.007598149574642714,0.9970614768417426,11.238784033821517,-0.03025513015556547,-0.014040140079615737,-0.01621499007594973,0.5872325408572595,0.0029880768142945715,87.340708,0.026,0.6399999999999997,1.1099999999999994,4.678362573099393,0.0277577837910305
1969-03-01,99.3,3.1,5.82,1969.2083333332441,6.3,868.3633711911358,27.10902770083103,124427.53512652525,50.8950132963989,7292.731666025952,20.202287616481648,23.221677104407608,0.00899373953594055,1.0148747842994055,11.11263595896664,-0.026294536014482506,-0.013303355333953992,-0.012991180680528513,0.5968051182809573,0.002821330609149062,89.729742,0.023,0.6600000000000001,1.21,5.247813411078739,0.0290106869586022
1969-04-01,101.3,3.11,5.82667,1969.2916666665774,6.17,880.9723333333336,27.04663333333334,126557.22833385394,50.67260676666668,7279.439344679336,20.428608081932154,23.4826218680824,0.009957099691437217,0.994110352163324,11.21579664432321,-0.02671421450278111,-0.01497342443227645,-0.011740790070504659,0.5855133662373742,0.002594376827145443,87.02220999999999,0.025,0.6500000000000004,1.37,5.523255813953476,0.0262018453247666
1969-05-01,104.6,3.12,5.83333,1969.3749999999106,6.32,907.1722362637365,27.059057142857153,130644.9431999641,50.59115698818683,7285.803695187826,20.97225827197209,24.10625959181033,0.007469564387868284,0.9870846797381502,11.119108399265317,-0.03287779118619516,-0.01506177473385606,-0.0178160164523391,0.5450785919422886,0.002181262223663834,76.306659,0.023,0.7299999999999995,1.1999999999999993,5.507246376811592,0.0274732195444163
1969-06-01,99.14,3.13,5.84,1969.458333333244,6.57,855.1204224043718,26.99744726775957,123472.78484389985,50.37223387978143,7273.3615441635575,19.713341583757625,22.660788139262017,0.008223010403273973,0.9946381612657276,10.915526134938741,-0.026155992087097846,-0.011415251035158724,-0.014740741051939121,0.5009701971478978,0.0018630633025775512,63.487276,0.024,0.7199999999999998,1.13,5.475504322766556,0.0299696521299201
1969-07-01,94.71,3.13667,5.85667,1969.5416666665772,6.72,812.470249728261,26.907940642119573,117638.20420097001,50.24147542472828,7274.502601601681,18.68170820719276,21.47881578006707,0.00973085025685462,1.007770250943413,10.797993415602901,-0.021122186476369764,-0.010959231654178225,-0.010162954822191539,0.5261929547341322,0.0014625967573625284,69.532636,0.025,0.7599999999999998,1.12,5.4441260744985565,0.0321366858139888
1969-08-01,94.18,3.14333,5.87333,1969.6249999999104,6.69,803.5564870270273,26.819316334324334,116671.17266619008,50.11204525324326,7275.942860007583,18.429515590207743,21.19334928926966,0.011318181972567835,0.9722723609219354,10.823075471780822,-0.01644233055451083,-0.011910586002217616,-0.004531744552293215,0.6067905384277609,0.0012950477013077305,92.540397,0.024,0.8900000000000006,1.17,5.714285714285716,0.0315192078102201
1969-09-01,94.51,3.15,5.89,1969.7083333332437,7.16,804.198581940701,26.80378301886793,117088.71190790257,50.11881967654987,7297.138008015512,18.398046344676967,21.161648629370404,0.006637296580913353,1.0102292959873826,10.49461332159653,-0.016346310010965315,-0.011106974916049062,-0.005239335094916253,0.5981039786168743,0.0009493846339622486,89.795621,0.03,0.910000000000001,0.8900000000000006,5.698005698005693,0.0357307949170657
1969-10-01,95.52,3.15333,5.85333,1969.791666666577,7.1,808.4346723860592,26.688246497855236,118029.28316880499,49.53972907158178,7232.6669184512275,18.44866203181535,21.223912918013674,0.007289815133966045,1.0030799074007841,10.545118825780046,-0.02125960267194449,-0.017668368369158527,-0.0035912343027859617,0.6154724017399013,0.0017793086907378903,95.26160800000001,0.026,0.8900000000000006,1.120000000000001,5.665722379603411,0.0339380370182741
